name,latitude_deg,longitude_deg,iso_country,iso_region,iata_code
Lab Lab Airport,-5.7204,148.0566,PG,PG-MPL,LAB
Lowai Airport,-6.3344,146.6458,PG,PG-MPL,LWI
Leron Plains Airport,-6.3917,146.3434,PG,PG-MPL,LPN
Lese Airport,-8.2799,146.2765,PG,PG-GPK,LNG
Long Island Airport,-5.3604,147.0177,PG,PG-MPM,LSJ
Yas Island Seaplane Base,24.467,54.6103,AE,AE-AZ,AYM
Manari Airport,-9.1908,147.6219,PG,PG-CPM,MRM
Morobe Airport,-7.74,147.59,PG,PG-MPL,OBM
Madang Airport,-5.207079887,145.7890015,PG,PG-MPM,MAG
Mount Hagen Kagamuga Airport,-5.828212,144.299412,PG,PG-WHM,HGU
Mougulu Airport,-6.280859,142.420775,PG,PG-WPD,GUV
Mendi Airport,-6.14774,143.656998,PG,PG-SHM,MDU
Momote Airport,-2.06189,147.423996,PG,PG-MRL,MAS
Moro Airport,-6.363329887,143.2380066,PG,PG-SHM,MXH
Misima Island Airport,-10.6892004,152.8379974,PG,PG-MBA,MIS
Marawaka Airport,-6.9736,145.8849,PG,PG-EHG,MWG
Nankina Airport,-5.837,146.4533,PG,PG-MPM,NKN
Negarbo(Negabo) Airport,-6.567778,144.703058,PG,PG-CPK,GBF
Manguna Airport,-5.577778,151.792333,PG,PG-EBR,MFO
Kasonombe Airport,-6.3819,146.9859,PG,PG-MPL,KSB
Nomane Airport,-6.32183,145.070667,PG,PG-CPK,NMN
Nambaiyufa Airport,-6.2412,145.2424,PG,PG-CPK,NBA
Nadzab Airport,-6.569803,146.725977,PG,PG-MPL,LAE
Konge Airport,-6.2239,147.2152,PG,PG-MPL,KGB
Oksapmin Airport,-5.2261,142.2259,PG,PG-SAN,OKP
Komako Airport,-7.3984,145.8827,PG,PG-GPK,HOC
Komaio Airport,-7.2714,143.5952,PG,PG-GPK,KCJ
Koroba Airport,-5.6952,142.7441,PG,PG-HE,KDE
Open Bay Airport,-4.794727,151.696195,PG,PG-EBR,OPB
Pangoa Airport,-7.0226,141.5605,PG,PG-WPD,PGB
Pangia Airport,-6.386,144.1084,PG,PG-SHM,PGN
Mapoda Airport,-7.979,143.1694,PG,PG-WPD,MPF
Pumani Airport,-9.7469,149.4766,PG,PG-MBA,PMN
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,PG,PG-NCD,POM
Sopu Airport,-8.3038,147.1659,PG,PG-CPM,SPH
Sialum Airport,-6.0908,147.5955,PG,PG-MPL,SXA
Rumginae Airport,-5.897222222,141.2716667,PG,PG-WPD,RMN
Karimui Airport,-6.4921,144.823,PG,PG-CPK,KMR
Maramuni Airport,-5.13,143.4829,PG,PG-EPW,MWI
May River Airstrip,-4.3615,141.785,PG,PG-ESW,MRH
Suabi Airport,-6.104444444,142.2783333,PG,PG-WPD,SBE
Simberi Airport,-2.662222222,151.9977778,PG,PG-NIK,NIS
Sila Airport,-9.073555556,148.38925,PG,PG-NPP,SIL
Sabah Airport,-5.5765,155.0489,PG,PG-NSB,SBV
Simbai Airport,-5.278611111,144.5447222,PG,PG-MPM,SIM
Selbang Airport,-5.315,141.752,PG,PG-WPD,SBC
Sepik Plains Airport,-3.8821,143.6734,PG,PG-ESW,SPV
Sauren Airport,-5.9701,148.8543,PG,PG-WBK,SXW
Masa Airport,-6.345,147.591,PG,PG-MPL,MBV
Tari Airport,-5.84499979,142.947998,PG,PG-HE,TIZ
Tabubil Airport,-5.27861,141.225998,PG,PG-WPD,TBG
Tapini Airport,-8.356666667,146.9891667,PG,PG-CPM,TPI
Tokua Airport,-4.34046,152.380005,PG,PG-EBR,RAB
Tekin Airport,-5.243666667,142.1651944,PG,PG-SAN,TKW
Tep Tep Airport,-5.9553,146.5595,PG,PG-MPM,TEP
Tsewi Airport,-7.0695,146.1272,PG,PG-MPL,TSW
Tarakbits Airport,-5.614,141.0421,PG,PG-WPD,TRJ
Tawa Airport,-7.4463,146.1067,PG,PG-MPL,TWY
Tekadu Airport,-7.6808,146.5503,PG,PG-MPL,TKB
Aiyura Airport,-6.338055556,145.9041667,PG,PG-EHG,AYU
Umba Airport,-7.0214,145.966,PG,PG-MPL,UMC
Uroubi Airport,-9.5162,148.5591,PG,PG-NPP,URU
Upiara Airport,-8.5411,142.6503,PG,PG-WPD,UPR
Uvol Airport,-6.0178,150.9557,PG,PG-EBR,UVO
Talasea Airport,-5.2726,150.0089,PG,PG-WBK,TLW
Torembi Airport,-4.0165,143.1329,PG,PG-ESW,TCJ
Vanimo Airport,-2.6926,141.3028,PG,PG-SAN,VAI
Tonu Airport,-6.6552,155.4326,PG,PG-NSB,TON
Wabo Airport,-6.989444444,145.0751111,PG,PG-GPK,WAO
Wapenamanda Airport,-5.635293,143.892231,PG,PG-EPW,WBM
Wawoi Falls Airport,-6.9523,142.6557,PG,PG-WPD,WAJ
Wewak International Airport,-3.583830118,143.6690063,PG,PG-ESW,WWK
Wonenara Airport,-6.796861111,145.8919444,PG,PG-EHG,WOA
Wakunai Airport,-5.8603,155.2223,PG,PG-NSB,WKN
Wasu Airport,-5.961709449,147.1982253,PG,PG-MPL,WSU
Woitape Airport,-8.545833333,147.2525,PG,PG-CPM,WTP
Wau Airport,-7.345556,146.718611,PG,PG-MPL,WUG
Yeva Airport,-7.548,146.188,PG,PG-MPL,YVD
Sim Airport,-7.75,146.9273,PG,PG-MPL,SMJ
Weam Airport,-8.6184,141.1381,PG,PG-WPD,WEP
Arugam Bay SPB,6.86,81.82388889,LK,LK-5,AYY
Yalumet Airport,-6.09,147.0117,PG,PG-MPL,KYX
Yasuru Airport,-6.6015,146.1813,PG,PG-MPL,KSX
Wasum Airport,-6.0491,149.337,PG,PG-WBK,WUM
Zabrat Airport,40.49554222,49.97680664,AZ,AZ-BA,ZXT
Fuzuli International Airport,39.594578,47.196128,AZ,AZ-FUZ,FZL
Lava Falls Heliport,36.1916008,-113.0920029,US,US-AZ,HAE
Amazon Bay Airport,-10.29916667,149.3383333,PG,PG-CPM,AZB
Zhenjiang Dalu Airport,32.23649,119.718683,CN,CN-32,AZJ
Bali Airport,-4.883333333,149.1333333,PG,PG-WBK,BAJ
Bambu Airport,-5.863611111,146.4925,PG,PG-MPM,BCP
Benguera Island Airport,-21.85330009,35.43830109,MZ,MZ-I,BCW
Milyakburra Airport,-13.78083333,136.2016667,AU,AU-NT,BCZ
Willmar Municipal Airport John L Rice Field (2006),45.117552,-95.132259,US,US-MN,ILL
Baindoung Airport,-6.347222222,146.9422222,PG,PG-MPL,BDZ
Malevo Airport,41.87179947,25.60479927,BG,BG-26,HKV
Bezmer Air Base,42.45489883,26.35219955,BG,BG-28,JAM
Aasiaat Airport,68.721802,-52.784698,GL,GL-QK,JEG
Aappilattoq Heliport,72.88703,-55.596287,GL,GL-AV,AOQ
Tasiilaq Heliport,65.612296,-37.618335,GL,GL-SE,AGM
Attu Heliport,67.940663,-53.62187,GL,GL-QK,QGQ
Narsarsuaq Airport,61.1605,-45.425999,GL,GL-KU,UAK
Qasigiannguit Heliport,68.822816,-51.173447,GL,GL-QK,JCH
Neerlerit Inaat Airport,70.743103,-22.650499,GL,GL-SE,CNP
Eqalugaarsuit Heliport,60.61972,-45.914062,GL,GL-KU,QFG
Nuuk Airport,64.193022,-51.676512,GL,GL-SE,GOH
Qeqertarsuaq Heliport,69.251182,-53.514876,GL,GL-QK,JGO
Ikerasak Heliport,70.498145,-51.303084,GL,GL-AV,IKE
Iginniarfik Heliport,68.147226,-53.173528,GP,GP-U-A,QFI
Ikerassaarsuk Heliport,68.140881,-53.441459,GL,GL-QK,QRY
Ilimanaq Heliport,69.080915,-51.114315,GL,GL-AV,XIQ
Innarsuit Heliport,73.199895,-56.010817,GL,GL-AV,IUI
Isortoq Heliport,65.547792,-38.976552,GL,GL-SE,IOQ
Ikamiut Heliport,68.634253,-51.832262,GL,GL-QK,QJI
Qaqortoq Heliport,60.715684,-46.029919,GL,GL-KU,JJU
Ilulissat Airport,69.243202,-51.057098,GL,GL-AV,JAV
Kangaatsiaq Heliport,68.312657,-53.460208,GL,GL-QK,QPW
Kulusuk Airport,65.573601,-37.1236,GL,GL-SE,KUS
Kuummiut Heliport,65.863935,-36.997919,GL,GL-SE,KUZ
Kullorsuaq Heliport,74.57805,-57.226828,GL,GL-AV,KHQ
Kangersuatsiaq Heliport,72.381092,-55.536586,GL,GL-AV,KGQ
Kitsissuarsuit Heliport,68.857926,-53.123295,GL,GL-QK,QJE
Illorsuit Heliport,71.241944,-53.562877,GL,GL-AV,IOT
Maniitsoq Airport,65.412498,-52.9394,GL,GL-QA,JSU
Nanortalik Heliport,60.141884,-45.232977,GL,GL-KU,JNN
Nuugaatsiaq Heliport,71.538769,-53.205038,GL,GL-AV,JUU
Narsaq Heliport,60.917283,-46.059923,GL,GL-KU,JNS
Niaqornat Heliport,70.789385,-53.662945,GL,GL-AV,NIQ
Nuussuaq Heliport,74.109853,-57.065037,GL,GL-AV,NSQ
Paamiut Airport,62.014736,-49.670937,GL,GL-SE,JFR
Qeqertaq Heliport,69.995861,-51.300917,GL,GL-AV,PQT
Qaanaaq Airport,77.488602,-69.388702,GL,GL-AV,NAQ
Ittoqqortoormiit Heliport,70.488229,-21.97168,GL,GL-SE,OBY
Kangerlussuaq Airport,67.010446,-50.715294,GL,GL-QA,SFJ
Siorapaluk Heliport,77.786517,-70.638657,GL,GL-AV,SRK
Saarloq Heliport,60.537778,-46.024722,GL,GL-KU,QOQ
Sisimiut Airport,66.951302,-53.729301,GL,GL-QA,JHS
Saattut Heliport,70.811172,-51.63129,GL,GL-AV,SAE
Savissivik Heliport,76.018613,-65.117683,GL,GL-AV,SVR
Tasiusaq Heliport,73.373055,-56.06028,GL,GL-AV,TQA
Thule Air Base,76.531197,-68.703201,GL,GL-AV,THU
Tiniteqilaaq Heliport,65.892027,-37.783409,GL,GL-SE,TQI
Upernavik Airport,72.790199,-56.1306,GL,GL-AV,JUV
Uummannaq Heliport,70.680428,-52.11163,GL,GL-AV,UMD
Qaarsut Airport,70.7342,-52.696201,GL,GL-AV,JQA
Ukkusissat Heliport,71.049438,-51.890016,GL,GL-AV,JUK
Bahía de los Ángeles Airport,28.9786,-113.560997,MX,MX-BCN,BHL
Brighton Downs Airport,-23.36388889,141.5627778,AU,AU-QLD,BHT
Akureyri Airport,65.66000366,-18.0727005,IS,IS-6,AEY
Bildudalur Airport,65.64129639,-23.5461998,IS,IS-4,BIU
Borgarfjörður eystri Airport,65.516769,-13.81578,IS,IS-7,BGJ
Bakkafjörður Airport,66.02189636,-14.82439995,IS,IS-6,BJD
Hjaltabakki Airport,65.64499664,-20.28750038,IS,IS-5,BLO
Búðardalur Airport,65.07530212,-21.8003006,IS,IS-3,BQD
