IATA,City,Country
LEJ,Leipzig,Germany
BUD,Budapest,Hungary
DEL,Delhi,India
NCE,Nice,France
DNK,Dnipro,Ukraine
DRS,Dresden,Germany
GDZ,Gelendzhik,Russia
HAJ,Hanover,Germany
HAM,Hamburg,Germany
HAN,Hanoi,Vietnam
HRK,Kharkiv,Ukraine
KGF,Karaganda,Kazakhstan
KRK,Kraków,Poland
MLE,Malé,Maldives
PUJ,Punta Cana,Dominicana
PUS,Busan,South Korea
SGN,Ho Chi Minh City,Vietnam
STR,Stuttgart,Germany
TFS,Tenerife,Spain
VNO,Vilnius,Lithuania
YYZ,Toronto (Mississauga),Canada
ZAG,Zagreb,Croatia
HMA,Khanty-Mansiysk,Russia
ESB,Ankara,Turkey
TUN,Tunis,Tunis
LGW,Gatwick,UK
MAN,Manchester,UK
CGN,Cologne/Bonn,Germany
GBB,Qabala,Azerbaijan
KVD,Ganja,Azerbaijan
LLK,Lankaran,Azerbaijan
LWN,Gyumri,Armenia
CMB,Colombo,Sri-Lanka
CUN,Cancún,Mexico
DLM,Dalaman,Turkey
GOI,Goa,India
HKT,Phuket,Thailand
HRG,Hurghada,Egypt
KOV,Kokshetau,Kazakhstan
PED,Pardubice,Czech Republic
SSH,Sharm El Sheikh,Egypt
SYX,Sanya,China
VRA,Varadero,Cuba
GUW,Atyrau,Kazakhstan
KSN,Kostanay,Kazakhstan
MRU,Plaine Magnien,Mauritius
ORY,Paris,France
SEZ,Victoria,Canada
NYA,Nyagan,Russia
UTS,Ust-Tsilma,Russia
TBW,Tambov,Russia
URS,Kursk,Russia
CXR,Cam Ranh,Vietnam
IAA,Igarka,Russia
TGP,"Podkamennaya Tunguska, Bor",Russia
THX,Turkhansk,Russia
NOJ,Noyabrsk,Russia
KGP,Kogalym,Russia
TQL,Tarko-Sale,Russia
TGD,Podgorica,Montenegro
UKS,Sevastopol,Ukraine
RTW,Saratov,Russia
TXL,Berlin,Germany
TSE,Nursultan,Kazakhstan
DOK,Donetsk,Ukraine
SXF,Berlin,Germany
